epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4288.14,1.20398,0.66744,1.35863,0.91398,0.93179,0.94097,0.56693,1.48399,0.60478,1.47245,7.43e-05,7.43e-05,7.43e-05
88,4333,1.22476,0.68117,1.38746,0.92716,0.92447,0.93978,0.5674,1.47065,0.60192,1.46436,6.935e-05,6.935e-05,6.935e-05
89,4377.43,1.21059,0.67222,1.36119,0.92777,0.93385,0.94718,0.57157,1.47623,0.59733,1.46839,6.44e-05,6.44e-05,6.44e-05
90,4424.29,1.21749,0.67934,1.37837,0.91601,0.93107,0.94308,0.56944,1.46646,0.60217,1.46648,5.945e-05,5.945e-05,5.945e-05
91,4468.84,1.18206,0.57616,1.44951,0.91126,0.93745,0.94504,0.56604,1.48848,0.60198,1.48217,5.45e-05,5.45e-05,5.45e-05
92,4511.97,1.16003,0.54725,1.41615,0.91921,0.92833,0.94355,0.56832,1.47464,0.60329,1.47261,4.955e-05,4.955e-05,4.955e-05
93,4554.9,1.14886,0.54932,1.41575,0.92175,0.93288,0.94489,0.57807,1.44541,0.59383,1.45747,4.46e-05,4.46e-05,4.46e-05
94,4598.65,1.12789,0.53879,1.40276,0.92179,0.93685,0.94679,0.58139,1.44479,0.59491,1.45236,3.965e-05,3.965e-05,3.965e-05
95,4642.55,1.12601,0.52544,1.38882,0.9225,0.94319,0.95066,0.58206,1.4387,0.58589,1.44411,3.47e-05,3.47e-05,3.47e-05
96,4686.94,1.12107,0.52871,1.3944,0.92629,0.94168,0.95012,0.58356,1.44213,0.58789,1.44448,2.975e-05,2.975e-05,2.975e-05
97,4731.47,1.10637,0.52371,1.38105,0.93159,0.93831,0.94993,0.58361,1.44295,0.58459,1.44448,2.48e-05,2.48e-05,2.48e-05
98,4775.39,1.10413,0.52602,1.38937,0.93057,0.94228,0.94979,0.58336,1.43383,0.58532,1.44282,1.985e-05,1.985e-05,1.985e-05
99,4818.6,1.10361,0.52237,1.36801,0.92539,0.94137,0.94745,0.58307,1.43538,0.58615,1.44261,1.49e-05,1.49e-05,1.49e-05
100,4861.36,1.10171,0.514,1.37254,0.92606,0.93935,0.94938,0.58361,1.43194,0.58295,1.44224,9.95e-06,9.95e-06,9.95e-06
